album_name,listeners,playcount,total_tracks,avg_duration_sec,raw_tags,tag_instrumental,tag_orchestral,tag_electronic,tag_ambient,tag_dark,tag_acoustic,tag_epic,tag_relaxing,n_tags,title,metascore,genres,releaseDate,release_year,score_category,is_high_score,log_listeners
"The Midnight Studio, Pt. 5 (Original Soundtrack)",31750,666858,2.0,252.0,,0,0,0,0,0,0,0,0,0,Flipnote Studio,93.0,Application,2009-08-12,2009.0,Universal (90+),1,10.36567949988784
World of Warcraft Original Soundtrack,49921,759526,30.0,133.2,,0,0,0,0,0,0,0,0,0,World of Warcraft,93.0,MMORPG,2004-11-23,2004.0,Universal (90+),1,10.818217066343328
Deadpool (Original Soundtrack Album),24833,190610,23.0,177.3,80s|hip-hop|pop|rap|romantic,0,0,0,0,0,0,0,0,5,Wipeout XL,93.0,Future Racing,1996-09-30,1996.0,Universal (90+),1,10.119968960976788
Amadeus [Fantasy Original Soundtrack 2002] Disc 1,96,1819,,,,0,0,0,0,0,0,0,0,0,NHL 2002,92.0,Hockey Sim,2001-09-24,2001.0,Universal (90+),1,4.574710978503383
God of War III (Original Soundtrack),26125,332443,,,,0,0,0,0,0,0,0,0,0,God of War III,92.0,Linear Action Adventure,2010-03-16,2010.0,Universal (90+),1,10.17068626604651
Uncharted 3: Drake's Deception (Original Soundtrack),16666,145157,26.0,,,0,0,0,0,0,0,0,0,0,Uncharted 3: Drake's Deception,92.0,Linear Action Adventure,2011-11-01,2011.0,Universal (90+),1,9.721185995542177
Clair Obscur: Expedition 33 (Original Soundtrack),150220,13088411,154.0,189.4,soundtrack|vgm|4-5,0,0,0,0,0,0,0,0,3,Clair Obscur: Expedition 33,92.0,JRPG,2025-04-24,2025.0,Universal (90+),1,11.919862822121054
FINAL FANTASY VII REBIRTH Original Soundtrack,4915,226799,175.0,188.8,,0,0,0,0,0,0,0,0,0,Final Fantasy VII Rebirth,92.0,Action RPG,2024-02-29,2024.0,Universal (90+),1,8.500250470685925
Prince of Persia: The Sands of Time Original Soundtrack,95,18248,,,,0,0,0,0,0,0,0,0,0,Prince of Persia: The Sands of Time,92.0,Linear Action Adventure,2003-11-10,2003.0,Universal (90+),1,4.564348191467836
Xenoblade Chronicles 3: Future Redeemed Gamerip Soundtrack,98,4605,,,,0,0,0,0,0,0,0,0,0,Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,92.0,Action RPG,2023-04-25,2023.0,Universal (90+),1,4.59511985013459
The Super Mario Bros. Movie (Original Motion Picture Soundtrack),274420,2478234,37.0,142.3,soundtrack|nintendo|score|super mario|2023,0,0,0,0,0,0,0,0,5,Super Mario Bros. Wonder,92.0,2D Platformer,2023-10-20,2023.0,Universal (90+),1,12.522418702517793
The Sims (Original Soundtrack),47920,778390,15.0,227.9,soundtrack|videogame soundtrack|video game music|ea games|video game soundtrack,0,1,1,0,0,0,0,0,5,The Sims,92.0,Virtual Life,2000-02-04,2000.0,Universal (90+),1,10.777309100685118
Eternal Darkness - Sanity's Requiem Original Soundtrack,33,896,,,,0,0,0,0,0,0,0,0,0,Eternal Darkness: Sanity's Requiem,92.0,Survival,2002-06-23,2002.0,Universal (90+),1,3.5263605246161616
Bloodborne Original Soundtrack,138184,2859534,,,soundtrack|ambient|classical|epic|japanese,0,1,0,1,0,0,1,0,5,Bloodborne,92.0,Action RPG,2015-03-24,2015.0,Universal (90+),1,11.836348646074777
Advance Wars Original Soundtrack,22,580,,,,0,0,0,0,0,0,0,0,0,Advance Wars,92.0,Turn-Based Tactics,2001-09-09,2001.0,Universal (90+),1,3.1354942159291497
Banjo-Kazooie Original Soundtrack,356,20552,159.0,148.5,video game music|instrumental|soundtrack|british|video game,1,0,1,0,0,0,0,0,5,Banjo-Kazooie,92.0,3D Platformer,1998-06-29,1998.0,Universal (90+),1,5.877735781779639
Vagrant Story Original Soundtrack,166,14297,57.0,155.7,video game music|soundtrack|japanese|game|final fantasy,0,0,1,0,0,0,0,0,5,Vagrant Story,92.0,Action RPG,2000-05-15,2000.0,Universal (90+),1,5.117993812416755
The Witcher 3: Wild Hunt (Original Soundtrack),4,73,,,,0,0,0,0,0,0,0,0,0,The Witcher 3: Wild Hunt,92.0,Action RPG,2015-05-19,2015.0,Universal (90+),1,1.6094379124341003
Celeste Original Soundtrack,4462,231941,19.0,292.5,electronic|soundtrack|instrumental|video game music|chiptune,1,0,1,0,0,0,0,0,5,Celeste,92.0,2D Platformer,2018-01-25,2018.0,Universal (90+),1,8.40357646462927
System Shock 2 (Original Soundtrack),9,257,,,,0,0,0,0,0,0,0,0,0,System Shock 2,92.0,Survival,1999-08-11,1999.0,Universal (90+),1,2.302585092994046
Blue Prince (Original Soundtrack),5,590,,,,0,0,0,0,0,0,0,0,0,Blue Prince,92.0,First-Person Adventure,2025-04-10,2025.0,Universal (90+),1,1.791759469228055
Team Fortress 2 Original Soundtrack,23,456,,,,0,0,0,0,0,0,0,0,0,Team Fortress 2,92.0,Tactical FPS,2007-10-10,2007.0,Universal (90+),1,3.1780538303479458
Final Fantasy XII Original Soundtrack,22602,362435,98.0,172.0,,0,0,0,0,0,0,0,0,0,Final Fantasy XII,92.0,JRPG,2006-10-31,2006.0,Universal (90+),1,10.025837919813588
